,AG.SHF,AL.SHF,AP.CZC,BU.SHF,C.DCE,CU.SHF,FG.CZC,FU.SHF,HC.SHF,I.DCE,J.DCE,JM.DCE,L.DCE,M.DCE,MA.CZC,NI.SHF,PP.DCE,RB.SHF,RM.CZC,RU.SHF,SC.INE,SR.CZC,TA.CZC,V.DCE,ZC.CZC
2013-01-21,-125.0,165.0,0.0,0.0,514.0,43.0,-418.0,0.0,0.0,0.0,-67.0,0.0,0.0,-370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,0.0,0.0,0.0
2013-01-22,-125.0,165.0,0.0,0.0,0.0,43.0,0.0,-242.0,0.0,0.0,-67.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,-486.0,0.0,0.0,229.0,0.0,0.0,0.0
2013-01-23,-124.0,0.0,0.0,0.0,515.0,0.0,419.0,0.0,0.0,0.0,-67.0,0.0,0.0,-365.0,0.0,0.0,0.0,314.0,0.0,-48.0,0.0,229.0,0.0,0.0,0.0
2013-01-24,-125.0,0.0,0.0,0.0,515.0,0.0,422.0,0.0,0.0,0.0,-66.0,0.0,0.0,0.0,0.0,0.0,0.0,-308.0,485.0,-48.0,0.0,231.0,0.0,0.0,0.0
2013-01-25,0.0,0.0,0.0,0.0,0.0,-43.0,426.0,0.0,0.0,0.0,-67.0,0.0,0.0,372.0,0.0,0.0,0.0,-310.0,501.0,0.0,0.0,230.0,-295.0,0.0,0.0
2013-01-28,0.0,0.0,0.0,0.0,0.0,-42.0,425.0,0.0,0.0,0.0,-67.0,0.0,0.0,-369.0,0.0,0.0,0.0,-307.0,499.0,49.0,0.0,231.0,0.0,0.0,0.0
2013-01-29,128.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,0.0,0.0,0.0,0.0,-230.0,-365.0,0.0,0.0,0.0,-307.0,496.0,0.0,0.0,235.0,-290.0,0.0,0.0
2013-01-30,128.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.0,0.0,-227.0,0.0,0.0,0.0,0.0,-307.0,497.0,0.0,0.0,234.0,-289.0,0.0,0.0
2013-01-31,127.0,0.0,0.0,0.0,516.0,0.0,-396.0,-239.0,0.0,0.0,0.0,0.0,-227.0,0.0,0.0,0.0,0.0,0.0,494.0,0.0,0.0,233.0,-288.0,0.0,0.0
2013-02-01,125.0,164.0,0.0,0.0,516.0,0.0,-394.0,0.0,0.0,0.0,0.0,0.0,-226.0,-356.0,0.0,0.0,0.0,0.0,0.0,-48.0,0.0,230.0,0.0,0.0,0.0
2013-02-04,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-299.0,0.0,0.0,0.0,0.0,0.0,661.0,-63.0,0.0,-305.0,0.0,496.0,0.0
2013-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-236.0,0.0,0.0,65.0,0.0,-220.0,357.0,0.0,0.0,0.0,296.0,488.0,-47.0,0.0,-229.0,0.0,0.0,0.0
2013-02-06,0.0,0.0,0.0,0.0,-579.0,48.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,407.0,0.0,0.0,0.0,0.0,-552.0,-53.0,0.0,-263.0,0.0,0.0,0.0
2013-02-07,0.0,0.0,0.0,0.0,-579.0,0.0,0.0,273.0,0.0,0.0,75.0,0.0,0.0,404.0,0.0,0.0,0.0,348.0,-554.0,0.0,0.0,-262.0,0.0,0.0,0.0
2013-02-08,252.0,0.0,0.0,0.0,-1015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-563.0,0.0,0.0
2013-02-18,0.0,-219.0,0.0,0.0,-677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469.0,0.0,0.0,0.0,404.0,-644.0,63.0,0.0,0.0,0.0,0.0,0.0
2013-02-19,0.0,0.0,0.0,0.0,-683.0,0.0,519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.0,0.0,64.0,0.0,-312.0,-377.0,0.0,0.0
2013-02-20,0.0,0.0,0.0,0.0,0.0,0.0,516.0,-319.0,0.0,0.0,0.0,0.0,297.0,0.0,0.0,0.0,0.0,-398.0,0.0,64.0,0.0,-311.0,0.0,0.0,0.0
2013-02-21,0.0,0.0,0.0,0.0,0.0,43.0,388.0,-240.0,0.0,0.0,0.0,0.0,221.0,0.0,0.0,0.0,0.0,0.0,-491.0,48.0,0.0,-233.0,0.0,-375.0,0.0
2013-02-22,0.0,-148.0,0.0,0.0,-454.0,0.0,357.0,-214.0,0.0,0.0,59.0,0.0,202.0,0.0,0.0,0.0,0.0,272.0,-430.0,0.0,0.0,-206.0,0.0,0.0,0.0
2013-02-25,0.0,-134.0,0.0,0.0,-408.0,0.0,322.0,193.0,0.0,0.0,0.0,0.0,181.0,290.0,0.0,0.0,0.0,0.0,-389.0,-40.0,0.0,-183.0,0.0,-303.0,0.0
2013-02-26,0.0,-135.0,0.0,0.0,-410.0,0.0,321.0,0.0,0.0,0.0,54.0,0.0,181.0,-298.0,0.0,0.0,0.0,249.0,-400.0,0.0,0.0,-184.0,234.0,0.0,0.0
2013-02-27,-138.0,0.0,0.0,0.0,0.0,0.0,407.0,0.0,0.0,0.0,0.0,0.0,231.0,-377.0,0.0,0.0,0.0,316.0,-500.0,0.0,0.0,-234.0,299.0,0.0,0.0
2013-02-28,-121.0,0.0,0.0,0.0,0.0,0.0,357.0,0.0,0.0,0.0,60.0,0.0,206.0,-333.0,0.0,0.0,0.0,279.0,-442.0,0.0,0.0,-207.0,266.0,0.0,0.0
2013-03-01,-122.0,0.0,0.0,0.0,455.0,-39.0,0.0,215.0,0.0,0.0,0.0,0.0,202.0,0.0,0.0,0.0,0.0,0.0,447.0,0.0,0.0,-205.0,264.0,-338.0,0.0
2013-03-04,-139.0,170.0,0.0,0.0,513.0,-44.0,0.0,0.0,0.0,0.0,-68.0,0.0,229.0,0.0,0.0,0.0,0.0,-311.0,499.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-05,-158.0,0.0,0.0,0.0,0.0,0.0,471.0,278.0,0.0,0.0,0.0,0.0,0.0,-425.0,0.0,0.0,0.0,366.0,-572.0,0.0,0.0,266.0,0.0,0.0,0.0
2013-03-06,-137.0,170.0,0.0,0.0,515.0,0.0,409.0,0.0,0.0,0.0,-69.0,0.0,0.0,-366.0,0.0,0.0,0.0,317.0,0.0,-51.0,0.0,0.0,0.0,0.0,0.0
2013-03-07,-183.0,0.0,0.0,0.0,0.0,0.0,546.0,324.0,0.0,0.0,0.0,0.0,0.0,-490.0,0.0,0.0,0.0,0.0,667.0,0.0,0.0,0.0,0.0,-510.0,0.0
2013-03-08,-137.0,-167.0,0.0,0.0,0.0,0.0,412.0,242.0,0.0,0.0,0.0,0.0,237.0,-367.0,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,233.0,0.0,0.0,0.0
2013-03-11,-92.0,-111.0,0.0,0.0,341.0,0.0,277.0,161.0,0.0,0.0,0.0,0.0,158.0,-244.0,0.0,0.0,0.0,212.0,334.0,-35.0,0.0,154.0,-205.0,0.0,0.0
2013-03-12,-156.0,0.0,0.0,0.0,584.0,0.0,0.0,277.0,0.0,0.0,0.0,0.0,271.0,0.0,0.0,0.0,0.0,0.0,586.0,-60.0,0.0,0.0,-351.0,0.0,0.0
2013-03-13,0.0,0.0,0.0,0.0,0.0,0.0,-1681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2076.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-14,-548.0,0.0,0.0,0.0,0.0,0.0,0.0,970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-15,0.0,336.0,0.0,0.0,0.0,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,-482.0,0.0,0.0,0.0,0.0,664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-18,0.0,193.0,0.0,0.0,0.0,-50.0,0.0,276.0,0.0,0.0,0.0,0.0,-270.0,434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,-347.0,0.0,0.0
2013-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1236.0,0.0,0.0
2013-03-20,0.0,0.0,0.0,0.0,0.0,46.0,-431.0,241.0,0.0,0.0,0.0,0.0,-234.0,389.0,0.0,0.0,0.0,-325.0,0.0,0.0,0.0,0.0,-308.0,386.0,0.0
2013-03-21,0.0,136.0,0.0,0.0,407.0,36.0,-339.0,193.0,0.0,0.0,0.0,0.0,-188.0,307.0,0.0,0.0,0.0,-258.0,0.0,-44.0,0.0,0.0,-247.0,0.0,0.0
2013-03-22,85.0,104.0,0.0,0.0,313.0,28.0,-259.0,149.0,0.0,0.0,-45.0,0.0,0.0,235.0,0.0,0.0,0.0,-197.0,-314.0,-34.0,0.0,139.0,-190.0,0.0,0.0
2013-03-25,221.0,0.0,0.0,0.0,812.0,72.0,-676.0,0.0,0.0,0.0,-119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-26,111.0,0.0,0.0,0.0,406.0,0.0,-337.0,194.0,0.0,0.0,-59.0,0.0,-191.0,0.0,0.0,0.0,0.0,-256.0,415.0,-44.0,0.0,183.0,0.0,0.0,0.0
2013-03-27,124.0,0.0,0.0,0.0,452.0,-40.0,-381.0,216.0,0.0,0.0,0.0,0.0,213.0,-339.0,0.0,0.0,0.0,0.0,0.0,-49.0,0.0,204.0,0.0,0.0,0.0
2013-03-28,104.0,0.0,0.0,0.0,369.0,-33.0,-312.0,176.0,0.0,0.0,-55.0,0.0,174.0,-276.0,0.0,0.0,0.0,-234.0,0.0,-40.0,0.0,168.0,0.0,0.0,0.0
2013-03-29,0.0,-342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.0,0.0,760.0,0.0
2013-04-01,572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1287.0,0.0,0.0
2013-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1343.0,-2148.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-03,193.0,0.0,0.0,0.0,683.0,0.0,-584.0,0.0,0.0,0.0,-103.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-425.0,0.0,0.0
2013-04-08,0.0,-229.0,0.0,0.0,686.0,0.0,0.0,0.0,0.0,0.0,-103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714.0,0.0,0.0,312.0,-422.0,0.0,0.0
2013-04-09,0.0,0.0,0.0,0.0,517.0,0.0,0.0,243.0,0.0,0.0,-76.0,171.0,0.0,0.0,0.0,0.0,0.0,-326.0,0.0,-58.0,0.0,232.0,-315.0,0.0,0.0
2013-04-10,0.0,0.0,0.0,0.0,521.0,0.0,-431.0,243.0,0.0,0.0,-77.0,0.0,0.0,0.0,0.0,0.0,0.0,-325.0,0.0,0.0,0.0,233.0,-314.0,376.0,0.0
2013-04-11,0.0,0.0,0.0,0.0,460.0,-40.0,0.0,216.0,0.0,0.0,-69.0,0.0,217.0,0.0,0.0,0.0,0.0,-289.0,0.0,-51.0,0.0,206.0,0.0,333.0,0.0
2013-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,-436.0,-703.0,-78.0,0.0,0.0,0.0,502.0,0.0
2013-04-15,-107.0,0.0,0.0,0.0,0.0,-33.0,320.0,178.0,0.0,0.0,0.0,125.0,180.0,-288.0,0.0,0.0,0.0,237.0,-377.0,-43.0,0.0,0.0,0.0,274.0,0.0
2013-04-16,0.0,0.0,0.0,0.0,-693.0,-62.0,0.0,0.0,0.0,0.0,0.0,237.0,0.0,-532.0,0.0,0.0,0.0,446.0,0.0,0.0,0.0,0.0,0.0,511.0,0.0
2013-04-17,0.0,229.0,0.0,0.0,-694.0,-63.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,0.0
2013-04-18,0.0,0.0,0.0,0.0,-1040.0,0.0,933.0,0.0,0.0,0.0,-164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770.0,0.0
2013-04-19,0.0,172.0,0.0,0.0,-520.0,49.0,0.0,261.0,0.0,0.0,-82.0,0.0,-258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-233.0,0.0,385.0,0.0
2013-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-941.0,0.0,1533.0,0.0
2013-04-23,0.0,0.0,0.0,0.0,2103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-24,0.0,0.0,0.0,0.0,0.0,0.0,931.0,-518.0,0.0,0.0,-168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1045.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-25,-158.0,0.0,0.0,0.0,0.0,44.0,-414.0,0.0,0.0,0.0,-73.0,0.0,0.0,358.0,0.0,0.0,0.0,0.0,474.0,-59.0,0.0,216.0,-288.0,0.0,0.0
2013-04-26,-158.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.0,0.0,-223.0,353.0,0.0,0.0,0.0,0.0,475.0,-58.0,0.0,217.0,0.0,340.0,0.0
2013-05-02,-124.0,0.0,0.0,0.0,380.0,-35.0,338.0,-189.0,0.0,0.0,0.0,-133.0,0.0,0.0,0.0,0.0,0.0,253.0,388.0,-48.0,0.0,0.0,234.0,279.0,0.0
2013-05-03,-100.0,99.0,0.0,0.0,-296.0,-29.0,269.0,-143.0,0.0,0.0,49.0,-106.0,0.0,-222.0,0.0,0.0,0.0,202.0,304.0,-37.0,0.0,0.0,185.0,220.0,0.0
2013-05-06,-137.0,137.0,0.0,0.0,0.0,-39.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,313.0,0.0,0.0,0.0,279.0,430.0,-51.0,0.0,0.0,257.0,306.0,0.0
2013-05-07,-125.0,124.0,0.0,0.0,0.0,-34.0,-335.0,180.0,0.0,0.0,0.0,0.0,0.0,-284.0,0.0,0.0,0.0,251.0,388.0,-46.0,0.0,0.0,231.0,276.0,0.0
2013-05-08,-139.0,137.0,0.0,0.0,411.0,0.0,-361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,427.0,-50.0,0.0,-190.0,258.0,303.0,0.0
2013-05-09,0.0,124.0,0.0,0.0,0.0,0.0,-325.0,-180.0,0.0,0.0,-59.0,-132.0,-179.0,280.0,0.0,0.0,0.0,0.0,386.0,-44.0,0.0,173.0,0.0,274.0,0.0
2013-05-10,-113.0,114.0,0.0,0.0,343.0,-31.0,-298.0,165.0,0.0,0.0,-55.0,-122.0,0.0,257.0,0.0,0.0,0.0,0.0,355.0,-41.0,0.0,159.0,0.0,0.0,0.0
2013-05-13,-104.0,105.0,0.0,0.0,316.0,-29.0,-271.0,0.0,0.0,0.0,-50.0,-111.0,150.0,236.0,0.0,0.0,0.0,-211.0,327.0,-37.0,0.0,0.0,195.0,0.0,0.0
2013-05-14,0.0,137.0,0.0,0.0,411.0,-37.0,0.0,0.0,0.0,0.0,-63.0,-141.0,0.0,311.0,0.0,0.0,0.0,-274.0,428.0,-49.0,0.0,0.0,255.0,0.0,0.0
2013-05-15,-153.0,152.0,0.0,0.0,456.0,-42.0,0.0,0.0,0.0,0.0,-71.0,-157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.0,0.0,211.0,0.0,335.0,0.0
2013-05-16,0.0,0.0,0.0,0.0,2053.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2107.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-17,0.0,0.0,0.0,0.0,-511.0,48.0,0.0,0.0,0.0,0.0,0.0,-182.0,249.0,385.0,0.0,0.0,0.0,0.0,-527.0,63.0,0.0,-240.0,0.0,0.0,0.0
2013-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.0,0.0,0.0,0.0,-287.0,0.0,0.0,0.0,0.0,0.0,-552.0,-838.0,97.0,0.0,0.0,0.0,0.0,0.0
2013-05-21,0.0,0.0,0.0,0.0,0.0,95.0,0.0,483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-693.0,-1046.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.0,0.0,0.0,0.0,287.0,0.0,-603.0,0.0,0.0,0.0,0.0,-835.0,98.0,0.0,0.0,0.0,0.0,0.0
2013-05-23,0.0,171.0,0.0,0.0,513.0,-47.0,0.0,241.0,0.0,0.0,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,-348.0,-521.0,61.0,0.0,0.0,0.0,0.0,0.0
2013-05-24,0.0,0.0,0.0,0.0,515.0,48.0,438.0,0.0,0.0,0.0,-81.0,0.0,-246.0,0.0,0.0,0.0,0.0,-352.0,-523.0,64.0,0.0,0.0,0.0,0.0,0.0
2013-05-27,-161.0,-152.0,0.0,0.0,0.0,42.0,389.0,0.0,0.0,0.0,0.0,162.0,0.0,-333.0,0.0,0.0,0.0,-311.0,-467.0,57.0,0.0,0.0,0.0,0.0,0.0
2013-05-28,-287.0,0.0,0.0,0.0,0.0,76.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,-510.0,0.0,0.0
2013-05-29,-145.0,-137.0,0.0,0.0,-410.0,38.0,348.0,0.0,0.0,0.0,0.0,148.0,195.0,0.0,0.0,0.0,0.0,-286.0,0.0,52.0,0.0,-195.0,0.0,0.0,0.0
2013-05-30,-183.0,-171.0,0.0,0.0,0.0,0.0,438.0,0.0,0.0,0.0,84.0,0.0,243.0,0.0,0.0,0.0,0.0,-363.0,0.0,67.0,0.0,0.0,-318.0,0.0,0.0
2013-05-31,-288.0,0.0,0.0,0.0,-817.0,76.0,714.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-03,-130.0,0.0,0.0,0.0,-372.0,34.0,329.0,180.0,0.0,0.0,62.0,138.0,177.0,0.0,0.0,0.0,0.0,-266.0,0.0,-49.0,0.0,0.0,-231.0,0.0,0.0
2013-06-04,-161.0,0.0,0.0,0.0,0.0,0.0,399.0,221.0,0.0,0.0,75.0,0.0,0.0,337.0,0.0,0.0,0.0,-319.0,-490.0,-59.0,0.0,0.0,-279.0,0.0,0.0
2013-06-05,-160.0,0.0,0.0,0.0,0.0,0.0,387.0,-221.0,0.0,0.0,74.0,168.0,0.0,343.0,0.0,0.0,0.0,-319.0,-492.0,0.0,0.0,0.0,280.0,0.0,0.0
2013-06-06,-144.0,134.0,0.0,0.0,411.0,-37.0,346.0,-199.0,0.0,0.0,0.0,0.0,0.0,306.0,0.0,0.0,0.0,-287.0,-433.0,0.0,0.0,0.0,250.0,0.0,0.0
2013-06-07,-242.0,224.0,0.0,0.0,0.0,0.0,0.0,-332.0,0.0,0.0,0.0,0.0,0.0,516.0,0.0,0.0,0.0,0.0,-732.0,0.0,0.0,0.0,419.0,0.0,0.0
2013-06-13,0.0,335.0,0.0,0.0,1030.0,0.0,0.0,-498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1106.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-14,-247.0,227.0,0.0,0.0,0.0,65.0,0.0,-332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421.0,-504.0,0.0
2013-06-17,0.0,682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-982.0,0.0,0.0,0.0
2013-06-18,0.0,0.0,0.0,0.0,0.0,64.0,581.0,-332.0,0.0,0.0,-115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-321.0,417.0,0.0,0.0
2013-06-19,149.0,138.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,-69.0,0.0,0.0,0.0,0.0,0.0,0.0,-287.0,-440.0,-55.0,0.0,-193.0,250.0,301.0,0.0
2013-06-20,136.0,125.0,0.0,0.0,0.0,36.0,321.0,0.0,0.0,0.0,-62.0,-147.0,170.0,0.0,0.0,0.0,0.0,-258.0,-402.0,-50.0,0.0,0.0,227.0,0.0,0.0
2013-06-21,173.0,0.0,0.0,0.0,0.0,45.0,400.0,0.0,0.0,0.0,-79.0,0.0,211.0,0.0,0.0,0.0,0.0,-319.0,-492.0,-63.0,0.0,0.0,280.0,0.0,0.0
2013-06-24,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,-85.0,-207.0,238.0,398.0,0.0,0.0,0.0,-356.0,0.0,-71.0,0.0,0.0,316.0,0.0,0.0
2013-06-25,0.0,0.0,0.0,0.0,0.0,0.0,609.0,0.0,0.0,0.0,-116.0,-278.0,323.0,0.0,0.0,0.0,0.0,-483.0,0.0,0.0,0.0,0.0,428.0,0.0,0.0
2013-06-26,0.0,0.0,0.0,0.0,-517.0,51.0,0.0,0.0,0.0,0.0,-86.0,-206.0,239.0,0.0,0.0,0.0,0.0,-362.0,0.0,0.0,0.0,0.0,320.0,382.0,0.0
2013-06-27,0.0,0.0,0.0,0.0,0.0,0.0,611.0,-332.0,0.0,0.0,0.0,-277.0,322.0,0.0,0.0,0.0,0.0,0.0,-750.0,0.0,0.0,0.0,427.0,0.0,0.0
2013-06-28,0.0,0.0,0.0,0.0,-376.0,-37.0,0.0,191.0,0.0,0.0,-63.0,-151.0,174.0,0.0,0.0,0.0,0.0,-262.0,406.0,0.0,0.0,183.0,232.0,278.0,0.0
2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-233.0,0.0,0.0,77.0,-185.0,214.0,-352.0,0.0,0.0,0.0,319.0,0.0,-63.0,0.0,224.0,0.0,340.0,0.0
2013-07-02,-150.0,0.0,0.0,0.0,376.0,-37.0,0.0,191.0,0.0,0.0,0.0,-146.0,174.0,0.0,0.0,0.0,0.0,261.0,0.0,-50.0,0.0,182.0,230.0,-276.0,0.0
2013-07-03,-165.0,0.0,0.0,0.0,413.0,-40.0,0.0,0.0,0.0,0.0,69.0,-161.0,189.0,0.0,0.0,0.0,0.0,285.0,0.0,-55.0,0.0,200.0,253.0,0.0,0.0
2013-07-04,-151.0,0.0,0.0,0.0,375.0,-36.0,323.0,181.0,0.0,0.0,64.0,-147.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,0.0,182.0,230.0,0.0,0.0
2013-07-05,-139.0,-116.0,0.0,0.0,0.0,-33.0,296.0,-166.0,0.0,0.0,0.0,-133.0,161.0,263.0,0.0,0.0,0.0,0.0,375.0,-46.0,0.0,170.0,0.0,252.0,0.0
2013-07-08,-170.0,0.0,0.0,0.0,411.0,-40.0,0.0,0.0,0.0,0.0,69.0,-159.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.0,0.0,205.0,254.0,302.0,0.0
2013-07-09,0.0,0.0,0.0,0.0,0.0,-51.0,0.0,0.0,0.0,0.0,0.0,-201.0,244.0,-398.0,0.0,0.0,0.0,0.0,-568.0,0.0,0.0,258.0,318.0,379.0,0.0
2013-07-10,0.0,-351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,484.0,0.0,0.0,0.0,0.0,0.0,-1110.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1374.0,-2216.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-12,-164.0,0.0,0.0,0.0,420.0,0.0,-355.0,200.0,0.0,0.0,68.0,0.0,-189.0,-308.0,0.0,0.0,0.0,274.0,0.0,56.0,0.0,-204.0,0.0,0.0,0.0
